"행정구역","2014년02월_총인구수","2014년02월_세대수","2014년02월_세대당 인구","2014년02월_남자 인구수","2014년02월_여자 인구수","2014년02월_남여 비율"
"전국  (1000000000)","51,171,176","20,500,837","          2.50","25,601,055","25,570,121","          1.00"
"서울특별시  (1100000000)","10,144,173","4,188,621","          2.42","5,006,461","5,137,712","          0.97"
"부산광역시  (2600000000)","3,527,439","1,408,084","          2.51","1,746,523","1,780,916","          0.98"
"대구광역시  (2700000000)","2,500,778","962,186","          2.60","1,245,343","1,255,435","          0.99"
"인천광역시  (2800000000)","2,884,824","1,122,115","          2.57","1,450,948","1,433,876","          1.01"
"광주광역시  (2900000000)","1,473,327","564,920","          2.61","730,342","742,985","          0.98"
"대전광역시  (3000000000)","1,534,335","586,973","          2.61","768,055","766,280","          1.00"
"울산광역시  (3100000000)","1,157,627","433,156","          2.67","596,084","561,543","          1.06"
"세종특별자치시  (3600000000)","125,944","51,502","          2.45","64,021","61,923","          1.03"
"경기도  (4100000000)","12,256,617","4,725,455","          2.59","6,169,825","6,086,792","          1.01"
"강원도  (4200000000)","1,539,343","663,906","          2.32","774,852","764,491","          1.01"
"충청북도  (4300000000)","1,572,923","645,224","          2.44","793,018","779,905","          1.02"
"충청남도  (4400000000)","2,049,750","860,214","          2.38","1,038,876","1,010,874","          1.03"
"전라북도  (4500000000)","1,871,267","767,406","          2.44","932,045","939,222","          0.99"
"전라남도  (4600000000)","1,905,198","816,232","          2.33","951,878","953,320","          1.00"
"경상북도  (4700000000)","2,697,306","1,140,927","          2.36","1,355,173","1,342,133","          1.01"
"경상남도  (4800000000)","3,334,412","1,324,226","          2.52","1,678,953","1,655,459","          1.01"
"제주특별자치도  (5000000000)","595,913","239,690","          2.49","298,658","297,255","          1.00"
